#;NAME;RAJ;DECJ;F0;F1;DIST;EDOT;
;;(hms);(dms);(Hz);(s^-2);(kpc);(ergs/s);
1176;J1709-3626;17:09:45.1;-36:26:03.6;2.232855;-1.130e-14;8.97;9.97e+32;
1177;J1709-3841;17:09:15.9;-38:41:17;1.703618;-2.280e-14;5.17;1.53e+33;
1178;J1709-43;17:09:47;-43:54:43;*;*;4.98;*;
1179;J1709-4342;17:09:30.9;-43:42:14;0.576071;-2.655e-16;5.49;6.04e+30;
1180;J1709-4401;17:09:41.3;-44:01:11.2;1.155755;-9.845e-15;4.98;4.49e+32;
1181;B1706-44;17:09:42.7;-44:29:08.2;9.759978;-8.857e-12;2.60;3.41e+36;
1182;J1710-2616;17:10:04.9;-26:16:35;1.048044;-2.197e-17;4.26;9.09e+29;
1183;J1710-37;17:10:30;-37:30;1.261576;*;5.34;*;
1184;J1710-4148;17:10:23.7;-41:48:19;3.489656;-1.242e-15;6.90;1.71e+32;
1185;J1710+49;17:10:29;+49:20;310.537490;*;0.39;*;
1186;B1709-15;17:11:55.0;-15:09:39.7;1.151007;-1.461e-15;2.94;6.64e+31;
1187;J1711-3826;17:11:44.4;-38:26:14;2.148853;-3.423e-14;5.20;2.90e+33;
1188;J1711-4322;17:11:10.5;-43:22:53.1;9.744852;-2.532e-15;4.17;9.74e+32;
1189;B1707-53;17:11:53.1;-53:50:16;1.112078;-1.916e-14;4.24;8.41e+32;
1190;J1712-2715;17:12:11.7;-27:15:53;3.916045;-1.962e-14;3.13;3.03e+33;
1191;J1712-391;17:12:35;-39:43;1.285101;*;6.37;*;
1192;J1712-392;17:12:35;-39:43;10.807574;*;8.94;*;
1193;J1713+0747;17:13:49.5;+07:47:37.4;218.811844;-4.084e-16;1.18;3.53e+33;
1194;J1713-3844;17:13:02.3;-38:44:29;0.624955;-6.929e-14;6.50;1.71e+33;
1195;J1713-3949;17:13:28;-39:49;2.548086;*;5.01;*;
1196;J1714-1054;17:14:40.1;-10:54:10.9;1.436206;-1.213e-16;2.65;6.88e+30;
1197;J1714-3810;17:14:05.7;-38:10:30.9;0.261442;-4.019e-12;13.20;4.15e+34;
1198;J1715-3247;17:15:23.4;-32:47:30;0.793516;-5.793e-17;3.91;1.81e+30;
1199;J1715-3700;17:15:09.6;-37:00:04;1.282663;-2.400e-16;6.08;1.22e+31;
1200;J1715-3859;17:15:37.8;-38:59:25.1;1.077461;-5.105e-15;10.53;2.17e+32;
1201;J1715-3903;17:15:14.3;-39:03:02;3.590909;-4.860e-13;4.80;6.89e+34;
1202;J1715-4034;17:15:40.9;-40:34:22;0.482590;-7.010e-16;4.62;1.34e+31;
1203;J1715-4254;17:15:10.5;-42:54:54;1.742933;-2.660e-15;12.58;1.83e+32;
1204;J1716-3720;17:16:11.3;-37:20:44;1.586512;-4.523e-14;9.46;2.83e+33;
1205;J1716-4005;17:16:42.0;-40:05:27;3.207053;-2.952e-14;6.33;3.74e+33;
1206;J1716-4111;17:16:44.3;-41:11:09.5;0.965188;-2.685e-15;4.79;1.02e+32;
1207;J1716-4711;17:16:01.1;-47:11:00.9;1.799130;-2.696e-15;19.58;1.92e+32;
1208;B1714-34;17:17:20.2;-34:24:59.6;1.523695;-2.276e-14;22.21;1.37e+33;
1209;J1717-3737;17:17:15.9;-37:37:36;1.465376;-1.137e-14;6.31;6.58e+32;
1210;J1717-3847;17:17:18.4;-38:47:03;0.869944;-6.206e-16;9.52;2.13e+31;
1211;J1717-3953;17:17:25.5;-39:53:55;0.921217;-2.800e-17;6.88;1.02e+30;
1212;J1717-4043;17:17:47.9;-40:43:50;2.513463;-7.726e-14;9.03;7.67e+33;
1213;J1717-40435;17:17:02.0;-40:43:31;2.857727;-1.429e-14;11.41;1.61e+33;
1214;B1713-40;17:17:52.2;-41:03:17;1.126483;-4.674e-15;5.47;2.08e+32;
1215;J1717-5800;17:17:35.6;-58:00:05.4;3.107584;-1.890e-15;8.85;2.32e+32;
1216;J1718-3714;17:18:18.5;-37:14:16;0.775567;-1.577e-14;10.87;4.83e+32;
1217;J1718-3718;17:18:10.0;-37:18:53;0.295983;-1.414e-13;5.08;1.65e+33;
1218;J1718-3825;17:18:13.5;-38:25:18.0;13.392274;-2.371e-12;4.24;1.25e+36;
1219;J1718-41;17:18:12;-41:07;1.823423;*;6.78;*;
1220;J1718-4539;17:18:11.9;-45:39:15.9;1.693558;-2.153e-14;10.82;1.44e+33;
1221;J1719-1438;17:19:10.0;-14:38:00.9;172.707045;-2.399e-16;1.64;1.64e+33;
1222;J1719-23;17:19:37;-23:29:07;2.202643;*;4.08;*;
1223;B1715-40;17:19:01.7;-40:06:59.5;5.288361;-4.664e-14;6.28;9.74e+33;
1224;J1719-4302;17:19:48.7;-43:02:11.4;4.246732;-7.071e-15;9.42;1.19e+33;
1225;B1718-02;17:20:57.2;-02:12:23.9;2.093297;-3.628e-16;5.41;3.00e+31;
1226;B1717-16;17:20:25.2;-16:33:33.7;0.638732;-2.365e-15;1.76;5.96e+31;
1227;J1720+2150;17:20:01.3;+21:50:12.8;0.618941;-2.835e-16;3.59;6.93e+30;
1228;J1720-2446;17:20:22.4;-24:46:27;1.143819;-7.758e-16;3.44;3.50e+31;
1229;B1717-29;17:20:34.1;-29:33:16.2;1.611738;-1.938e-15;1.43;1.23e+32;
1230;J1720-36;17:20:54;-36:53;10.853978;*;4.89;*;
1231;J1720-3659;17:20:01.9;-36:59:06.5;2.847992;-2.650e-16;5.11;2.98e+31;
1232;B1718-19;17:21:01.4;-19:36:51;0.995979;-1.611e-15;8.60;6.33e+31;
1233;J1721-1939;17:21:46.6;-19:39:49;2.475004;-7.859e-16;4.64;7.68e+31;
1234;J1721-2457;17:21:05.4;-24:57:06.3;285.989344;-4.533e-16;1.56;5.12e+33;
1235;B1718-35;17:21:32.7;-35:32:49.6;3.566030;-3.203e-13;4.60;4.51e+34;
1236;B1718-32;17:22:02.9;-32:07:45.3;2.095744;-2.838e-15;3.18;2.35e+32;
1237;B1718-36;17:22:09.8;-36:32:53.3;2.505114;-2.802e-14;5.30;2.77e+33;
1238;B1719-37;17:22:59.1;-37:12:03.7;4.234181;-1.946e-13;2.51;3.25e+34;
1239;J1722-4400;17:22:46.5;-44:00:33.2;4.575526;-7.826e-15;7.27;1.41e+33;
1240;J1723-2837;17:23:23.1;-28:37:57.1;538.870683;-2.190e-15;1.00;4.66e+34;
1241;J1723-2852;17:23:58.2;-28:52:51;1.599913;-2.304e-15;4.63;1.46e+32;
1242;J1723-3659;17:23:07.5;-36:59:13.9;4.932865;-1.948e-13;4.28;3.79e+34;
1243;J1723-38;17:23;-38:20;1.305831;*;7.00;*;
1244;J1724-3149;17:24:44.8;-31:49:04;1.054589;-8.060e-15;10.50;3.36e+32;
1245;J1724-35;17:24:43;-35:49;0.703240;*;6.61;*;
1246;J1724-3505;17:24:47.8;-35:05:36;0.818526;-1.414e-14;12.01;4.57e+32;
1247;J1724-4500;17:24:25.8;-45:00:15;0.763878;-2.050e-15;6.26;6.18e+31;
1248;J1725-0732;17:25:12.2;-07:32:59.2;4.168065;-7.463e-15;3.43;1.23e+33;
1249;J1725-2852;17:25:09.9;-28:52:22;0.795047;-1.260e-15;4.09;3.95e+31;
1250;J1725-3546;17:25:42.2;-35:46:16;0.968550;-1.407e-14;10.20;5.38e+32;
1251;J1725-3848;17:25:00.1;-38:48:36;0.484875;-5.407e-15;4.49;1.04e+32;
1252;J1725-3853;17:25:27.2;-38:53:04.2;208.688856;-2.178e-15;3.44;1.79e+34;
1253;J1725-4043;17:25:41.4;-40:43:11;0.682561;-1.300e-15;4.80;3.50e+31;
1254;J1726-00;17:26:23;-00:15;0.764175;*;5.49;*;
1255;J1726-31;17:26:36;-31:57;8.099122;*;4.82;*;
1256;J1726-3530;17:26:07.5;-35:29:58;0.900793;-9.873e-13;9.97;3.51e+34;
1257;J1726-3635;17:26:49.6;-36:35:45.6;3.479089;-1.743e-14;7.36;2.39e+33;
1258;J1726-4006;17:26:33.3;-40:06:02;1.132787;-4.270e-15;6.19;1.91e+32;
1259;J1727-2739;17:27:30.9;-27:39:00.5;0.773335;-6.580e-16;3.75;2.01e+31;
1260;J1727-29;17:27:19;-29:59;*;*;2.39;*;
1261;J1727-2946;17:27:15.0;-29:46:36.7;36.923282;-3.358e-16;1.62;4.90e+32;
1262;B1726-00;17:28:34.8;-00:07:45.0;2.590649;-7.535e-15;2.44;7.71e+32;
1263;J1728-3733;17:28:46.2;-37:33:08;1.624594;-1.900e-16;4.94;1.22e+31;
1264;J1728-4028;17:28:27.6;-40:28:10;1.154278;-3.100e-16;5.51;1.41e+31;
1265;J1729-2117;17:29:10.8;-21:17:28;15.084572;-3.914e-17;1.42;2.33e+31;
1266;J1730-2304;17:30:21.6;-23:04:31.1;123.110287;-3.059e-16;0.62;1.49e+33;
1267;J1730-2900;17:30:08.2;-29:00:46;0.650015;-3.740e-15;6.85;9.60e+31;
1268;B1727-33;17:30:32.5;-33:50:39.4;7.170504;-4.362e-12;4.26;1.23e+36;
1269;J1730-3353;17:30:55.5;-33:53:38;0.305788;-2.053e-15;4.23;2.48e+31;
1270;J1730-34;17:30:06;-34:48;10.017073;*;8.41;*;
1271;J1731-1847;17:31:17.6;-18:47:32.6;426.519344;-4.622e-15;4.03;7.78e+34;
1272;J1731-3123;17:31:00.5;-31:23:43;1.327937;-2.960e-15;5.32;1.55e+32;
1273;J1731-3322;17:31:14.3;-33:22:45;1.835972;-9.470e-14;11.98;6.86e+33;
1274;B1727-47;17:31:42.1;-47:44:34.5;1.205068;-2.376e-13;4.98;1.13e+34;
1275;J1732-1930;17:32:20.0;-19:30:09;2.067098;-7.768e-16;2.21;6.34e+31;
1276;J1732-3131;17:32:33.5;-31:31:23;5.087941;-7.261e-13;0.80;1.46e+35;
1277;J1732-3426;17:32:07.1;-34:26:05;3.004025;-3.630e-15;6.38;4.30e+32;
1278;J1732-35;17:32:30;-35:05;7.893283;*;5.00;*;
1279;J1732-3729;17:32:20.8;-37:29:05;0.457875;-2.725e-16;6.20;4.93e+30;
1280;B1729-41;17:32:50.0;-41:28:48;1.592406;-3.255e-14;5.94;2.05e+33;
1281;J1732-4156;17:32:48.8;-41:56:29.6;3.091820;-6.320e-15;8.78;7.71e+32;
1282;J1732-5049;17:32:47.7;-50:49:00.1;188.233512;-5.030e-16;1.81;3.74e+33;
1283;B1730-22;17:33:26.4;-22:28:37;1.147206;-5.620e-17;1.49;2.55e+30;
1284;J1733-2533;17:33:25.8;-25:33:11;1.515624;-4.823e-15;7.78;2.89e+32;
1285;J1733-2837;17:33:33.9;-28:37:33;1.301771;-1.877e-15;4.66;9.65e+31;
1286;J1733-3030;17:33:58.8;-30:30:49;2.762034;-1.258e-14;14.18;1.37e+33;
1287;J1733-3322;17:33:55.2;-33:22:03;0.802623;-2.643e-15;6.30;8.37e+31;
1288;B1730-37;17:33:26.7;-37:16:54.6;2.962210;-1.320e-13;3.44;1.54e+34;
1289;J1733-4005;17:33:58.6;-40:05:39.7;1.780062;-1.148e-14;13.95;8.07e+32;
1290;J1733-5515;17:33:00.4;-55:15:40;0.988891;-3.912e-16;4.11;1.53e+31;
1291;B1732-02;17:34:45.6;-02:12:39.1;1.191335;-5.975e-16;5.36;2.81e+31;
1292;J1734-2415;17:34:41.6;-24:15:20;1.632590;-2.800e-15;3.48;1.80e+32;
1293;J1734-3058;17:34:50.8;-30:58:41.4;1.847453;-5.529e-17;4.37;4.03e+30;
1294;J1734-3333;17:34:26.9;-33:33:20;0.855183;-1.667e-12;7.40;5.63e+34;
1295;J1735-0243;17:35:48.1;-02:43:48;1.277324;-1.031e-15;3.25;5.20e+31;
1296;B1732-07;17:35:04.9;-07:24:52.4;2.384728;-6.908e-15;4.32;6.50e+32;
1297;J1735-3258;17:35:56.9;-32:58:19;2.849301;-2.117e-13;11.14;2.38e+34;
1298;J1736+05;17:36:54;+05:48;1.000756;*;2.81;*;
1299;J1736-2457;17:36:45.4;-24:57:50;0.378469;-4.910e-16;4.34;7.34e+30;
1300;J1736-2819;17:36:24.7;-28:19:42;0.627975;-5.884e-15;4.86;1.46e+32;
1301;J1736-2843;17:36:42.5;-28:43:51;0.155158;-7.220e-16;5.47;4.42e+30;
1302;J1736-3511;17:36:02.7;-35:11:56;1.988851;-6.210e-15;2.72;4.88e+32;
1303;J1737-0811;17:37:47.1;-08:11:08.8;239.519965;-4.549e-16;2.38;4.30e+33;
1304;J1737-3102;17:37:33.7;-31:02:00.5;1.300945;-6.319e-14;4.44;3.25e+33;
1305;J1737-3137;17:37:04.2;-31:37:21;2.220089;-6.839e-13;5.88;5.99e+34;
1306;J1737-3320;17:37:10.5;-33:20:20;1.225080;-3.378e-15;14.08;1.63e+32;
1307;B1734-35;17:37:40.0;-35:55:43.8;2.515187;-3.872e-14;2.25;3.85e+33;
1308;J1738+0333;17:38:53.9;+03:33:10.8;170.937370;-7.048e-16;1.47;4.76e+33;
1309;J1738-2330;17:38:08.8;-23:30:47;0.505345;-2.186e-15;2.79;4.36e+31;
1310;J1738-2647;17:38:05.0;-26:47:46;2.860486;-2.580e-14;3.88;2.91e+33;
1311;J1738-2736;17:38:14.6;-27:36:25.8;1.593078;-1.174e-14;5.91;7.38e+32;
1312;J1738-2955;17:38:52.2;-29:55:51;2.255310;-4.164e-13;3.91;3.71e+34;
1313;J1738-3107;17:38:47.4;-31:07:44;1.819844;-9.800e-16;10.76;7.04e+31;
1314;B1735-32;17:38:54.1;-32:11:53.6;1.301238;-1.346e-15;1.48;6.91e+31;
1315;J1738-3316;17:38:34.4;-33:16:01.6;1.369164;-1.660e-16;4.55;8.97e+30;
1316;J1739+0612;17:39:17.9;+06:12:28.4;4.270419;-2.852e-15;5.44;4.81e+32;
1317;J1739-1313;17:39:57.8;-13:13:18.6;0.822573;-5.528e-17;2.02;1.80e+30;
1318;B1736-29;17:39:34.2;-29:03:03.5;3.097103;-7.558e-14;3.19;9.24e+33;
1319;J1739-3023;17:39:39.8;-30:23:12;8.743710;-8.717e-13;3.41;3.01e+35;
1320;J1739-3049;17:39:23.2;-30:49:40;4.178555;-3.803e-14;6.97;6.27e+33;
1321;B1736-31;17:39:24.3;-31:31:15.3;1.888785;-6.630e-14;7.68;4.94e+33;
1322;J1739-3159;17:39:48.6;-31:59:49;1.139522;-2.560e-16;4.85;1.15e+31;
1323;J1739-3951;17:39:38.2;-39:52:00.3;2.925923;-1.700e-16;1.13;1.96e+31;
1324;J1740+1000;17:40:25.9;+10:00:06.3;6.489833;-9.041e-13;1.36;2.32e+35;
1325;B1737+13;17:40:07.3;+13:11:56.6;1.245252;-2.250e-15;4.77;1.11e+32;
1326;J1740-2540;17:40:45.3;-25:40:19;0.590787;-6.460e-16;8.26;1.51e+31;
1327;B1737-30;17:40:33.8;-30:15:43.5;1.647754;-1.266e-12;0.40;8.23e+34;
1328;J1740-3052;17:40:50.0;-30:52:04.3;1.753422;-7.841e-14;10.84;5.43e+33;
1329;J1740-3327;17:40:25.7;-33:27:53.5;1.941745;-1.470e-14;4.72;1.13e+33;
1330;J1740-5340A;17:40:44.5;-53:40:40.9;273.947918;-1.261e-14;2.20;1.36e+35;
1331;B1738-08;17:41:22.5;-08:40:31.8;0.489457;-5.449e-16;3.50;1.05e+31;
1332;J1741+1351;17:41:31.1;+13:51:44.1;266.869167;-2.152e-15;1.08;2.27e+34;
1333;J1741-2019;17:41:06.8;-20:19:24;0.256114;-1.067e-15;2.00;1.08e+31;
1334;J1741-2054;17:41:57.2;-20:53:57;2.417210;-9.923e-14;0.30;9.47e+33;
1335;J1741-2719;17:41:35.0;-27:19:23;2.883532;-6.700e-16;5.74;7.63e+31;
1336;J1741-2733;17:41:01.3;-27:33:51;1.119873;-1.850e-16;3.33;8.18e+30;
1337;J1741+2758;17:41:53.5;+27:58:09.0;0.734895;-9.943e-16;2.06;2.88e+31;
1338;J1741-2945;17:41:14.4;-29:45:35;4.473116;-1.269e-14;4.66;2.24e+33;
1339;J1741-3016;17:41:07.0;-30:16:31;0.528053;-2.508e-15;5.02;5.23e+31;
1340;J1741-34;17:41:54;-34:19;1.142678;*;4.75;*;
1341;B1737-39;17:41:18.0;-39:27:38.0;1.952319;-7.361e-15;4.75;5.67e+32;
1342;J1742-3957;17:42:04.4;-39:57:22;0.983914;-7.900e-17;6.40;3.07e+30;
1343;J1742-4616;17:42:26.1;-46:16:53.5;2.424824;-1.987e-16;4.99;1.90e+31;
1344;B1740-03;17:43:08.1;-03:39:11.5;2.248985;-7.871e-15;1.59;6.99e+32;
1345;B1740-13;17:43:37.6;-13:51:38.0;2.467083;-2.906e-15;4.85;2.83e+32;
1346;J1743-2442;17:43:20.1;-24:42:55;0.804824;-3.060e-16;4.96;9.72e+30;
1347;B1740-31;17:43:36.6;-31:50:21.7;0.414151;-2.072e-14;3.65;3.39e+32;
1348;J1743-3153;17:43:15.5;-31:53:05.3;5.178519;-2.834e-13;8.03;5.79e+34;
1349;J1743-35;17:43:06;-35:32;1.754448;*;4.01;*;
1350;J1743-4212;17:43:05.2;-42:12:02.4;3.266191;-8.357e-15;4.67;1.08e+33;
1351;J1744-1134;17:44:29.4;-11:34:54.6;245.426120;-5.382e-16;0.40;5.21e+33;
1352;J1744-1610;17:44:16.5;-16:10:35.8;0.569085;-7.697e-16;1.99;1.73e+31;
1353;J1744-2335;17:44:48.4;-23:35:55;0.593998;-2.938e-16;2.45;6.89e+30;
1354;J1744-3130;17:44:05.6;-31:30:04;0.938033;-1.867e-14;3.64;6.92e+32;
1355;J1744-3922;17:44:02.6;-39:22:21.1;5.798972;-5.212e-17;4.60;1.19e+31;
1356;J1744-5337;17:44:38.9;-53:37:51;2.811628;-1.502e-15;8.16;1.67e+32;
1357;J1745-0129;17:45:02.0;-01:29:18.1;0.956565;-5.774e-16;7.26;2.18e+31;
1358;J1745-0952;17:45:09.1;-09:52:39.6;51.609431;-2.463e-16;2.38;5.02e+32;
1359;J1745+1017;17:45:33.8;+10:17:52.5;377.055470;-3.880e-16;1.36;5.78e+33;
1360;J1745-2229;17:45:16.7;-22:29:14;0.861629;-2.121e-15;9.30;7.21e+31;
1361;J1745-2900;17:45:40.1;-29:00:29.8;0.265694;-1.240e-12;8.30;1.30e+34;
1362;J1745-2910;17:45:16;-29:10;1.018330;*;15.23;*;
1363;J1745-2912;17:45:50;-29:12;5.336766;*;18.53;*;
1364;B1742-30;17:45:56.3;-30:40:23.5;2.721616;-7.902e-14;0.20;8.49e+33;
1365;J1745-3812;17:45:15.4;-38:12:07.3;1.431941;-4.974e-15;4.82;2.81e+32;
1366;J1746+2245;17:46:00.8;+22:45:28.9;0.288597;-4.097e-16;4.32;4.67e+30;
1367;J1746+2540;17:46:06.8;+25:40:37.5;0.945047;-9.351e-16;4.16;3.49e+31;
1368;J1746-27;17:46;-27:51;2.051166;*;5.35;*;
1369;J1746-2849;17:46:03.7;-28:49:19;0.676370;-5.810e-15;30.00;1.55e+32;
1370;J1746-2850;17:46:06.6;-28:50:42;0.928418;-1.158e-12;12.86;4.24e+34;
1371;J1746-2856;17:46:49.5;-28:56:31.0;1.057950;-1.399e-14;21.77;5.84e+32;
1372;J1746-3239;17:46:54.9;-32:39:55.8;5.011492;-1.648e-13;*;3.26e+34;
1373;J1747-1030;17:47:58.3;-10:30:05;0.633395;-1.725e-16;7.27;4.31e+30;
1374;J1747-2647;17:47:30.8;-26:47:14;1.998983;-5.291e-14;8.44;4.18e+33;
1375;J1747-2802;17:47:26.5;-28:02:37;0.359702;-3.060e-16;11.78;4.35e+30;
1376;J1747-2809;17:47:22.8;-28:09:15.0;19.174406;-5.720e-11;17.55;4.33e+37;
1377;J1747-2958;17:47:15.8;-29:58:01.0;10.120026;-6.280e-12;2.49;2.51e+36;
1378;J1747-4036;17:47:48.7;-40:36:54.7;607.677539;-4.851e-15;5.81;1.16e+35;
1379;B1745-12;17:48:17.4;-13:00:52.0;2.537212;-7.807e-15;3.64;7.82e+32;
1380;B1745-20A;17:48:52.6;-20:21:39.7;3.464970;-4.794e-15;8.24;6.56e+32;
1381;J1748-2021B;17:48:52.9;-20:21:38.8;59.665418;1.172e-15;8.24;*;
1382;J1748-2021C;17:48:51.1;-20:21:53.8;160.592710;1.543e-15;8.24;*;
1383;J1748-2021D;17:48:51.6;-20:21:07.4;74.097014;-3.222e-15;8.24;9.42e+33;
1384;J1748-2021E;17:48:52.8;-20:21:29.3;61.485477;-1.181e-15;8.24;2.87e+33;
1385;J1748-2021F;17:48:52.3;-20:21:39.3;263.599833;7.330e-16;8.24;*;
1386;J1748-2444;17:48:48.5;-24:44:37;2.258160;-5.676e-16;3.89;5.06e+31;
1387;B1744-24A;17:48:02.2;-24:46:36.9;86.481637;2.543e-16;5.50;*;
1388;J1748-2446aa;17:48:04.8;-24:46:45;172.770057;*;5.50;*;
1389;J1748-2446ab;17:48:04.8;-24:46:45;195.323563;*;5.50;*;
1390;J1748-2446ac;17:48:04.8;-24:46:45;196.582994;*;5.50;*;
1391;J1748-2446ad;17:48:04.8;-24:46:45;716.355562;-0.000e+00;5.50;*;
1392;J1748-2446ae;17:48:04.8;-24:46:45;273.329343;*;4.41;*;
1393;J1748-2446af;17:48:04.8;-24:46:45;302.632296;*;5.50;*;
1394;J1748-2446ag;17:48:04.8;-24:46:45;224.818628;*;5.50;*;
1395;J1748-2446ah;17:48:04.8;-24:46:45;201.403784;*;5.50;*;
1396;J1748-2446ai;17:48:04.8;-24:46:45;47.106750;*;5.50;*;
1397;J1748-2446C;17:48:04.5;-24:46:36;118.538253;8.515e-15;5.50;*;
1398;J1748-2446D;17:48:04.8;-24:46:45;212.134969;*;8.70;*;
1399;J1748-2446E;17:48:04.8;-24:46:45;455.000455;*;5.50;*;
1400;J1748-2446F;17:48:04.8;-24:46:45;180.500854;*;5.50;*;
1401;J1748-2446G;17:48:04.8;-24:46:45;46.142765;*;5.50;*;
1402;J1748-2446H;17:48:04.8;-24:46:45;203.008999;*;5.50;*;
1403;J1748-2446I;17:48:04.8;-24:46:45;104.491133;*;5.50;*;
1404;J1748-2446J;17:48:04.8;-24:46:45;12.447421;*;5.50;*;
1405;J1748-2446K;17:48:04.8;-24:46:45;336.740020;*;5.50;*;
1406;J1748-2446L;17:48:04.8;-24:46:45;445.493830;*;5.50;*;
1407;J1748-2446M;17:48:04.8;-24:46:45;280.145788;*;5.50;*;
1408;J1748-2446N;17:48:04.8;-24:46:45;115.381509;*;5.50;*;
1409;J1748-2446O;17:48:04.8;-24:46:45;596.434514;*;5.50;*;
1410;J1748-2446P;17:48:04.8;-24:46:45;578.496141;*;4.41;*;
1411;J1748-2446Q;17:48:04.8;-24:46:45;355.618777;*;5.50;*;
1412;J1748-2446R;17:48:04.8;-24:46:45;198.864879;*;5.50;*;
1413;J1748-2446S;17:48:04.8;-24:46:45;163.488451;*;5.50;*;
1414;J1748-2446T;17:48:04.8;-24:46:45;141.145053;*;5.50;*;
1415;J1748-2446U;17:48:04.8;-24:46:45;304.030841;*;5.50;*;
1416;J1748-2446V;17:48:04.8;-24:46:45;482.506719;*;5.50;*;
1417;J1748-2446W;17:48:04.8;-24:46:45;237.801949;*;5.50;*;
1418;J1748-2446X;17:48:04.8;-24:46:45;333.415576;*;5.50;*;
1419;J1748-2446Y;17:48:04.8;-24:46:45;488.243106;*;5.50;*;
1420;J1748-2446Z;17:48:04.8;-24:46:45;406.076529;*;5.50;*;
1421;J1748-30;17:48;-30:17;2.612776;*;11.09;*;
1422;J1748-3009;17:48:23.7;-30:09:12.2;103.260203;*;5.96;*;
1423;J1749-2347;17:49:15.6;-23:47:17;1.143529;-3.169e-15;6.10;1.43e+32;
1424;J1749-2629;17:49:11.2;-26:29:10;0.748846;-9.620e-16;5.28;2.84e+31;
1425;B1746-30;17:49:13.4;-30:02:35;1.639684;-2.116e-14;9.05;1.37e+33;
1426;J1749-4931;17:49:23.7;-49:31:59;2.243046;-2.968e-15;1.80;2.63e+32;
1427;B1745-56;17:49:44.5;-56:05:19;0.750576;-1.194e-15;2.66;3.54e+31;
1428;J1750-2043;17:50:18.4;-20:43:08;0.177335;-2.500e-16;5.69;1.75e+30;
1429;J1750-2438;17:50:59.7;-24:38:58;1.402930;-2.125e-14;7.15;1.18e+33;
1430;J1750-2444;17:50:22.9;-24:44:47;1.111881;-3.260e-16;5.03;1.43e+31;
1431;J1750-2536;17:50:33.3;-25:36:43;28.777763;*;3.51;*;
1432;J1750-28;17:50:04.0;-28:45;0.768927;-3.417e-15;5.19;1.04e+32;
1433;B1747-31;17:50:47.3;-31:57:44.1;1.098463;-2.371e-16;4.43;1.03e+31;
1434;J1750-3503;17:50:44.5;-35:03:08.9;1.461959;-8.143e-17;5.07;4.70e+30;
1435;J1750-3703A;17:50:13.8;-37:03:10.9;8.960506;-4.545e-16;13.80;1.61e+32;
1436;J1750-3703B;17:50:12.1;-37:03:22.9;164.621462;-5.200e-16;13.80;3.38e+33;
1437;J1750-3703C;17:50:13.4;-37:03:05.5;37.638304;1.411e-15;13.80;*;
1438;J1750-3703D;17:50:13.0;-37:03:06.3;194.554922;-1.865e-14;13.80;1.43e+35;
1439;J1751-2516;17:51:52.6;-25:16:43;2.532699;-1.696e-14;7.46;1.70e+33;
1440;J1751-2857;17:51:32.6;-28:57:46.5;255.436115;-7.347e-16;1.44;7.41e+33;
1441;J1751-3323;17:51:32.7;-33:23:39.6;1.824062;-2.938e-14;9.27;2.12e+33;
1442;B1747-46;17:51:42.2;-46:57:24.8;1.347069;-2.343e-15;1.03;1.25e+32;
1443;J1752+2359;17:52:35.4;+23:59:48.2;2.444684;-3.841e-15;2.70;3.71e+32;
1444;J1752-2410;17:52:58.7;-24:10:26;5.234596;-1.693e-14;7.42;3.50e+33;
1445;B1749-28;17:52:58.6;-28:06:37.3;1.777596;-2.569e-14;0.20;1.80e+33;
1446;J1752-2821;17:52:24.5;-28:21:10;1.561940;-8.460e-15;7.62;5.22e+32;
1447;J1753-12;17:52:53;-12:59;2.466371;*;2.17;*;
1448;J1753-1914;17:53:35.1;-19:14:58;15.884390;-5.100e-16;2.77;3.20e+32;
1449;J1753-2240;17:53:39.8;-22:40:42;10.511068;-1.072e-16;3.46;4.45e+31;
1450;B1750-24;17:53:30.6;-25:00:25;1.892733;-5.057e-14;10.18;3.78e+33;
1451;J1753-38;17:53;-38:49;1.499691;*;6.99;*;
1452;J1754-2422;17:54:36.5;-24:22:24;0.478412;-1.900e-16;11.43;3.59e+30;
1453;J1754-30;17:54:16;-30:11;0.757295;*;5.47;*;
1454;J1754-3443;17:54:37.3;-34:43:53.9;2.764794;-4.366e-15;5.60;4.77e+32;
1455;J1754-3510;17:54:54.6;-35:10:43.0;2.546448;-5.068e-15;2.24;5.09e+32;
1456;B1753+52;17:54:22.9;+52:01:12.3;0.418166;-2.735e-16;3.56;4.52e+30;
1457;J1755-0903;17:55:10.3;-09:03:51.6;5.243573;-2.147e-14;2.16;4.44e+33;
1458;J1755-1650;17:55:11.6;-16:50:41;1.362872;-1.274e-15;4.27;6.85e+31;
1459;J1755-2025;17:55:35.8;-20:25:00;3.103362;-4.258e-14;8.64;5.22e+33;
1460;J1755-25;17:55:36;-25:53;3.172629;*;11.04;*;
1461;J1755-2521;17:55:59.7;-25:21:27;0.850363;-6.522e-14;4.12;2.19e+33;
1462;J1755-25211;17:55:19.3;-25:21:09;0.995508;-3.093e-14;11.52;1.22e+33;
1463;J1755-2534;17:55:49.8;-25:34:39;4.281910;-2.055e-13;7.22;3.47e+34;
1464;J1755-26;17:55:16.2;-26:00;2.320874;-6.615e-14;5.17;6.06e+33;
1465;J1755-2725;17:55:41.8;-27:25:45;3.817454;-2.000e-16;2.83;3.01e+31;
1466;J1755-33;17:55:12;-33:31;1.042246;*;9.66;*;
